name,email,password,school,sex,age,first_year_marks_percentage,second_year_marks_percentage,third_year_marks_percentage,first_year_attendance,second_year_attendance,overall_performance,attendance_improvement,total_courses_enrolled,average_course_completion,Web Development_enrolled,PowerBI_enrolled,C++ DSA_enrolled,Python_enrolled,Java_enrolled,MongoDB_enrolled,Machine Learning_enrolled,Web Development_completion,PowerBI_completion,C++ DSA_completion,Python_completion,Java_completion,MongoDB_completion,Machine Learning_completion
Preeti,preeti@gmail.com,preeti4257,GP,F,15,80.0,80.0,75.0,74.0,77.0,78.33333333333333,3.0,4,32.857142857142854,1,1,0,1,0,0,1,14,91,0,26,0,0,99
Karan,karan@gmail.com,karan7602,GP,M,15,35.0,45.0,0.0,76.0,81.0,26.666666666666668,5.0,5,26.0,0,1,0,1,1,1,1,0,98,0,35,0,29,20
Ansh,ansh@gmail.com,ansh3300,GP,M,16,40.0,40.0,40.0,56.0,60.0,40.0,4.0,3,14.714285714285714,0,1,1,1,0,0,0,0,1,62,40,0,0,0
Mary,mary@gmail.com,mary7940,GP,F,15,45.0,55.00000000000001,55.00000000000001,62.0,64.0,51.666666666666664,2.0,3,21.428571428571427,0,0,1,0,1,0,1,0,0,63,0,31,0,56
Mary,mary@gmail.com,mary8335,GP,F,16,70.0,70.0,65.0,70.0,71.0,68.33333333333333,1.0,4,34.0,1,1,0,0,0,1,1,59,54,0,0,0,88,37
Karan,karan@gmail.com,karan5032,GP,M,17,25.0,0.0,0.0,82.0,84.0,8.333333333333334,2.0,4,23.142857142857142,1,0,1,0,1,1,0,34,0,57,0,57,14,0
Varsha,varsha@gmail.com,varsha4944,GP,F,15,40.0,55.00000000000001,55.00000000000001,61.0,60.0,50.0,-1.0,3,24.285714285714285,0,0,1,1,0,1,0,0,0,71,32,0,67,0
Preeti,preeti@gmail.com,preeti8079,GP,F,15,25.0,30.0,-5.0,53.0,52.0,16.666666666666668,-1.0,4,23.714285714285715,0,1,0,1,0,1,1,0,38,0,91,0,24,13
Preeti,preeti@gmail.com,preeti2571,GP,F,15,55.00000000000001,60.0,60.0,99.0,96.0,58.333333333333336,-3.0,3,28.142857142857142,0,1,1,0,1,0,0,0,63,54,0,80,0,0
Abdul,abdul@gmail.com,abdul2531,GP,M,16,35.0,30.0,0.0,85.0,83.0,21.666666666666668,-2.0,3,11.142857142857142,0,0,1,0,1,1,0,0,0,8,0,15,55,0
Abdul,abdul@gmail.com,abdul3246,GP,M,15,40.0,45.0,50.0,62.0,62.0,45.0,0.0,4,35.57142857142857,0,0,1,1,1,0,1,0,0,20,93,88,0,48
Ansh,ansh@gmail.com,ansh3502,GP,M,18,30.0,25.0,0.0,83.0,80.0,18.333333333333332,-3.0,3,19.428571428571427,0,1,0,0,0,1,1,0,82,0,0,0,14,40
Ansh,ansh@gmail.com,ansh3825,GP,M,16,65.0,70.0,75.0,99.0,97.0,70.0,-2.0,5,36.142857142857146,0,1,1,1,1,1,0,0,11,32,66,51,93,0
Varsha,varsha@gmail.com,varsha2400,GP,F,15,50.0,50.0,50.0,79.0,77.0,50.0,-2.0,5,35.42857142857143,1,1,0,1,1,0,1,37,9,0,33,73,0,96
Piyush,piyush@gmail.com,piyush1695,GP,M,19,25.0,0.0,0.0,85.0,88.0,8.333333333333334,3.0,5,36.714285714285715,1,0,1,1,1,0,1,83,0,42,36,10,0,86
Preeti,preeti@gmail.com,preeti4136,GP,F,17,50.0,50.0,55.00000000000001,52.0,47.0,51.666666666666664,-5.0,5,43.714285714285715,1,0,0,1,1,1,1,99,0,0,87,18,37,65
Anshul,anshul@gmail.com,anshul1776,GP,M,15,55.00000000000001,40.0,40.0,63.0,67.0,45.0,4.0,5,38.285714285714285,0,1,0,1,1,1,1,0,87,0,36,26,24,95
Piyush,piyush@gmail.com,piyush1533,GP,M,17,75.0,55.00000000000001,60.0,57.0,56.0,63.333333333333336,-1.0,4,36.714285714285715,1,1,1,0,0,0,1,99,52,66,0,0,0,40
Khushi,khushi@gmail.com,khushi9433,GP,F,18,45.0,40.0,50.0,68.0,66.0,45.0,-2.0,3,26.571428571428573,1,1,0,0,0,1,0,86,45,0,0,0,55,0
Anshul,anshul@gmail.com,anshul4058,GP,M,16,90.0,80.0,80.0,91.0,87.0,83.33333333333333,-4.0,5,37.42857142857143,0,1,1,1,0,1,1,0,35,87,48,0,12,80
Abdul,abdul@gmail.com,abdul8084,GP,M,16,45.0,55.00000000000001,55.00000000000001,54.0,49.0,51.666666666666664,-5.0,4,18.714285714285715,0,1,1,0,0,1,1,0,3,13,0,0,29,86
Ansh,ansh@gmail.com,ansh1941,GP,M,17,35.0,30.0,0.0,80.0,75.0,21.666666666666668,-5.0,5,33.142857142857146,1,1,0,1,1,1,0,62,91,0,4,54,21,0
Ram,ram@gmail.com,ram8584,GP,M,15,25.0,45.0,35.0,87.0,87.0,35.0,0.0,5,37.714285714285715,1,1,1,0,0,1,1,37,48,71,0,0,98,10
Abdul,abdul@gmail.com,abdul9506,GP,M,16,35.0,0.0,0.0,68.0,63.0,11.666666666666666,-5.0,3,17.714285714285715,0,1,0,1,0,1,0,0,56,0,17,0,51,0
Abdul,abdul@gmail.com,abdul2716,GP,M,17,45.0,45.0,45.0,55.0,55.0,45.0,0.0,5,26.857142857142858,0,0,1,1,1,1,1,0,0,64,34,45,41,4
Ram,ram@gmail.com,ram4453,GP,M,17,25.0,40.0,35.0,89.0,84.0,33.333333333333336,-5.0,4,23.142857142857142,1,1,0,0,1,1,0,46,69,0,0,40,7,0
Abdul,abdul@gmail.com,abdul9241,GP,M,16,60.0,55.00000000000001,60.0,73.0,73.0,58.333333333333336,0.0,5,21.714285714285715,1,1,0,1,1,1,0,55,4,0,59,33,1,0
Ram,ram@gmail.com,ram8064,GP,M,16,55.00000000000001,55.00000000000001,55.00000000000001,99.0,98.0,55.00000000000001,-1.0,4,41.142857142857146,1,1,1,0,0,1,0,22,78,92,0,0,96,0
Mary,mary@gmail.com,mary9712,GP,F,16,65.0,70.0,75.0,58.0,63.0,70.0,5.0,4,33.142857142857146,1,0,1,0,1,1,0,27,0,78,0,27,100,0
Preeti,preeti@gmail.com,preeti3445,GP,F,16,35.0,40.0,5.0,95.0,98.0,26.666666666666668,3.0,5,34.0,0,1,1,1,1,0,1,0,8,95,96,37,0,2
Khushi,khushi@gmail.com,khushi7533,GP,F,16,70.0,70.0,70.0,74.0,77.0,70.0,3.0,3,22.714285714285715,1,1,0,1,0,0,0,100,18,0,41,0,0,0
Piyush,piyush@gmail.com,piyush4397,GP,M,16,30.0,25.0,0.0,84.0,89.0,18.333333333333332,5.0,3,6.142857142857143,0,0,0,1,1,1,0,0,0,0,1,15,27,0
Vivek,vivek@gmail.com,vivek4799,GP,M,16,65.0,75.0,80.0,83.0,87.0,73.33333333333333,4.0,4,23.571428571428573,1,0,1,0,0,1,1,76,0,45,0,0,31,13
Ram,ram@gmail.com,ram4851,GP,M,17,70.0,60.0,55.00000000000001,95.0,100.0,61.666666666666664,5.0,3,16.571428571428573,1,0,0,1,1,0,0,33,0,0,54,29,0,0
Khushi,khushi@gmail.com,khushi8131,GP,F,16,35.0,30.0,-5.0,55.0,59.0,20.0,4.0,3,26.142857142857142,0,1,0,0,1,0,1,0,91,0,0,5,0,87
Manisha,manisha@gmail.com,manisha3228,GP,F,16,50.0,55.00000000000001,45.0,89.0,93.0,50.0,4.0,3,13.142857142857142,0,1,0,0,1,1,0,0,0,0,0,11,81,0
Anshul,anshul@gmail.com,anshul8455,GP,M,17,55.00000000000001,50.0,50.0,95.0,97.0,51.666666666666664,2.0,4,33.857142857142854,0,1,0,1,1,1,0,0,30,0,18,90,99,0
Khushi,khushi@gmail.com,khushi2903,GP,F,16,60.0,60.0,50.0,53.0,49.0,56.666666666666664,-4.0,4,26.285714285714285,1,0,0,1,0,1,1,95,0,0,9,0,23,57
Vivek,vivek@gmail.com,vivek4626,GP,M,17,30.0,25.0,30.0,90.0,86.0,28.333333333333332,-4.0,3,19.857142857142858,0,1,0,1,1,0,0,0,15,0,34,90,0,0
Abdul,abdul@gmail.com,abdul5315,GP,M,16,50.0,40.0,45.0,75.0,80.0,45.0,5.0,5,45.57142857142857,0,1,1,1,1,0,1,0,93,5,90,47,0,84
Abdul,abdul@gmail.com,abdul9094,GP,M,17,55.00000000000001,55.00000000000001,60.0,91.0,88.0,56.666666666666664,-3.0,3,19.0,1,0,0,1,0,1,0,28,0,0,25,0,80,0
Karan,karan@gmail.com,karan7795,GP,M,16,50.0,45.0,45.0,91.0,90.0,46.666666666666664,-1.0,4,25.428571428571427,0,1,1,0,1,1,0,0,49,32,0,43,54,0
Abdul,abdul@gmail.com,abdul2455,GP,M,16,60.0,65.0,60.0,67.0,63.0,61.666666666666664,-4.0,3,16.142857142857142,1,1,0,0,0,0,1,71,6,0,0,0,0,36
Khushi,khushi@gmail.com,khushi6940,GP,F,17,85.0,90.0,90.0,99.0,96.0,88.33333333333333,-3.0,4,39.0,1,1,0,1,1,0,0,82,41,0,76,74,0,0
Mary,mary@gmail.com,mary5394,GP,F,17,45.0,45.0,40.0,68.0,64.0,43.333333333333336,-4.0,3,21.428571428571427,0,0,0,1,1,0,1,0,0,0,27,87,0,36
Manisha,manisha@gmail.com,manisha9128,GP,F,16,60.0,65.0,60.0,66.0,69.0,61.666666666666664,3.0,5,17.571428571428573,1,0,1,1,1,0,1,55,0,3,5,34,0,26
Karan,karan@gmail.com,karan5023,GP,M,17,60.0,60.0,55.00000000000001,72.0,72.0,58.333333333333336,0.0,5,26.571428571428573,1,0,1,1,1,0,1,4,0,74,45,34,0,29
Ram,ram@gmail.com,ram6278,GP,M,16,55.00000000000001,60.0,55.00000000000001,64.0,67.0,56.666666666666664,3.0,4,15.714285714285714,1,0,1,0,0,1,1,19,0,28,0,0,30,33
Anshul,anshul@gmail.com,anshul4142,GP,M,16,75.0,75.0,75.0,77.0,82.0,75.0,5.0,3,12.0,0,0,1,0,1,0,1,0,0,50,0,14,0,20
Preeti,preeti@gmail.com,preeti5276,GP,F,17,40.0,35.0,45.0,68.0,70.0,40.0,2.0,3,24.428571428571427,0,0,1,0,0,1,1,0,0,57,0,0,79,35
Abdul,abdul@gmail.com,abdul8083,GP,M,17,40.0,45.0,50.0,68.0,66.0,45.0,-2.0,5,42.857142857142854,1,0,0,1,1,1,1,96,0,0,96,1,86,21
Manisha,manisha@gmail.com,manisha5805,GP,F,16,55.00000000000001,60.0,65.0,65.0,70.0,60.0,5.0,3,32.857142857142854,1,0,1,1,0,0,0,73,0,72,85,0,0,0
Manisha,manisha@gmail.com,manisha2212,GP,F,17,40.0,40.0,45.0,69.0,72.0,41.666666666666664,3.0,3,18.571428571428573,1,1,0,0,0,1,0,23,35,0,0,0,72,0
Piyush,piyush@gmail.com,piyush7659,GP,M,17,30.0,35.0,35.0,55.0,56.0,33.333333333333336,1.0,3,18.857142857142858,1,0,0,1,1,0,0,9,0,0,80,43,0,0
Vivek,vivek@gmail.com,vivek7482,GP,M,16,40.0,45.0,50.0,67.0,68.0,45.0,1.0,5,32.42857142857143,1,0,1,1,0,1,1,21,0,19,13,0,96,78
Abdul,abdul@gmail.com,abdul2017,GP,M,16,65.0,70.0,70.0,76.0,74.0,68.33333333333333,-2.0,4,28.0,0,1,0,1,1,1,0,0,15,0,35,54,92,0
Manisha,manisha@gmail.com,manisha7285,GP,F,17,70.0,75.0,75.0,75.0,71.0,73.33333333333333,-4.0,5,30.0,1,1,1,1,0,1,0,10,24,14,64,0,98,0
Anshul,anshul@gmail.com,anshul9446,GP,M,17,90.0,80.0,85.0,93.0,93.0,85.0,0.0,3,17.714285714285715,0,1,1,0,1,0,0,0,85,13,0,26,0,0
Anshul,anshul@gmail.com,anshul8140,GP,M,16,45.0,45.0,50.0,84.0,79.0,46.666666666666664,-5.0,5,37.857142857142854,1,1,1,1,0,1,0,37,74,81,18,0,55,0
Preeti,preeti@gmail.com,preeti8104,GP,F,17,85.0,85.0,85.0,50.0,50.0,85.0,0.0,3,24.571428571428573,0,0,1,0,1,0,1,0,0,23,0,50,0,99
Varsha,varsha@gmail.com,varsha9124,GP,F,16,45.0,45.0,50.0,80.0,80.0,46.666666666666664,0.0,5,39.714285714285715,1,1,1,0,0,1,1,72,35,11,0,0,95,65
Preeti,preeti@gmail.com,preeti1065,GP,F,16,85.0,85.0,85.0,100.0,100.0,85.0,0.0,3,12.714285714285714,0,0,0,1,1,1,0,0,0,0,51,5,33,0
Mary,mary@gmail.com,mary6777,GP,F,16,40.0,50.0,50.0,70.0,67.0,46.666666666666664,-3.0,3,33.57142857142857,1,1,0,0,0,1,0,68,77,0,0,0,90,0
Varsha,varsha@gmail.com,varsha7902,GP,F,17,50.0,50.0,55.00000000000001,98.0,100.0,51.666666666666664,2.0,4,32.142857142857146,1,1,1,0,0,0,1,65,90,53,0,0,0,17
Preeti,preeti@gmail.com,preeti6642,GP,F,17,35.0,30.0,30.0,84.0,87.0,31.666666666666668,3.0,4,44.142857142857146,1,1,0,0,1,1,0,98,79,0,0,57,75,0
Varsha,varsha@gmail.com,varsha5381,GP,F,16,50.0,50.0,55.00000000000001,84.0,82.0,51.666666666666664,-2.0,4,26.428571428571427,0,1,1,0,1,0,1,0,98,25,0,50,0,12
Manisha,manisha@gmail.com,manisha9000,GP,F,17,50.0,45.0,45.0,62.0,67.0,46.666666666666664,5.0,4,16.714285714285715,1,0,1,1,0,0,1,4,0,46,61,0,0,6
Khushi,khushi@gmail.com,khushi4713,GP,F,16,35.0,35.0,35.0,73.0,77.0,35.0,4.0,5,35.57142857142857,1,1,1,1,0,0,1,7,89,95,39,0,0,19
Preeti,preeti@gmail.com,preeti7978,GP,F,16,50.0,55.00000000000001,60.0,50.0,49.0,55.0,-1.0,4,26.428571428571427,1,1,0,0,0,1,1,52,99,0,0,0,6,28
Mary,mary@gmail.com,mary8359,GP,F,16,40.0,40.0,45.0,58.0,54.0,41.666666666666664,-4.0,4,18.285714285714285,1,1,0,1,0,0,1,14,71,0,4,0,0,39
Varsha,varsha@gmail.com,varsha7932,GP,F,17,35.0,35.0,35.0,68.0,73.0,35.0,5.0,5,33.142857142857146,0,1,1,0,1,1,1,0,15,44,0,45,69,59
Khushi,khushi@gmail.com,khushi4232,GP,F,19,40.0,40.0,40.0,65.0,66.0,40.0,1.0,5,25.285714285714285,1,0,1,0,1,1,1,39,0,50,0,30,9,49
Vivek,vivek@gmail.com,vivek5337,GP,M,17,65.0,65.0,70.0,95.0,96.0,66.66666666666667,1.0,4,27.0,1,1,0,0,1,0,1,11,49,0,0,41,0,88
Varsha,varsha@gmail.com,varsha6004,GP,F,16,60.0,65.0,70.0,68.0,68.0,65.0,0.0,4,24.285714285714285,0,0,1,1,0,1,1,0,0,11,83,0,51,25
Karan,karan@gmail.com,karan6339,GP,M,18,30.0,35.0,40.0,74.0,79.0,35.0,5.0,4,21.142857142857142,1,0,0,1,0,1,1,64,0,0,10,0,16,58
Mary,mary@gmail.com,mary2617,GP,F,17,35.0,45.0,45.0,50.0,50.0,41.666666666666664,0.0,4,20.142857142857142,1,1,1,1,0,0,0,36,44,11,50,0,0,0
Mary,mary@gmail.com,mary3725,GP,F,17,70.0,75.0,75.0,86.0,85.0,73.33333333333333,-1.0,4,30.428571428571427,1,1,0,0,1,0,1,10,76,0,0,48,0,79
Varsha,varsha@gmail.com,varsha6484,GP,F,17,30.0,30.0,20.0,70.0,69.0,26.666666666666668,-1.0,5,44.42857142857143,1,1,1,0,1,0,1,85,5,92,0,40,0,89
Ansh,ansh@gmail.com,ansh5031,GP,M,18,30.0,30.0,40.0,69.0,74.0,33.333333333333336,5.0,5,18.0,1,0,1,1,1,1,0,61,0,39,15,8,3,0
Khushi,khushi@gmail.com,khushi5174,GP,F,17,35.0,35.0,40.0,64.0,59.0,36.666666666666664,-5.0,4,32.57142857142857,1,0,1,1,1,0,0,10,0,76,91,51,0,0
Manisha,manisha@gmail.com,manisha7196,GP,F,17,45.0,50.0,50.0,76.0,77.0,48.333333333333336,1.0,5,42.142857142857146,1,0,1,1,1,0,1,34,0,92,65,31,0,73
Preeti,preeti@gmail.com,preeti4046,GP,F,17,30.0,30.0,30.0,63.0,63.0,30.0,0.0,5,45.42857142857143,0,1,1,1,1,0,1,0,71,56,96,48,0,47
Preeti,preeti@gmail.com,preeti7456,GP,F,17,35.0,30.0,5.0,92.0,91.0,23.333333333333332,-1.0,3,13.285714285714286,1,0,0,1,0,1,0,12,0,0,36,0,45,0
Preeti,preeti@gmail.com,preeti5245,GP,F,16,80.0,80.0,85.0,75.0,77.0,81.66666666666667,2.0,5,26.571428571428573,1,1,1,1,1,0,0,27,52,27,50,30,0,0
Vivek,vivek@gmail.com,vivek2536,GP,M,18,65.0,70.0,70.0,92.0,89.0,68.33333333333333,-3.0,4,18.571428571428573,1,1,1,0,1,0,0,19,91,17,0,3,0,0
Mary,mary@gmail.com,mary3111,GP,F,16,65.0,65.0,70.0,88.0,90.0,66.66666666666667,2.0,5,33.285714285714285,0,1,1,1,1,0,1,0,85,24,84,9,0,31
Manisha,manisha@gmail.com,manisha8045,GP,F,18,45.0,40.0,35.0,82.0,77.0,40.0,-5.0,5,40.714285714285715,1,1,1,1,0,0,1,95,88,23,59,0,0,20
Varsha,varsha@gmail.com,varsha4878,GP,F,17,80.0,75.0,75.0,90.0,92.0,76.66666666666667,2.0,3,17.857142857142858,0,0,0,1,1,0,1,0,0,0,26,81,0,18
Ram,ram@gmail.com,ram6512,GP,M,17,55.00000000000001,50.0,55.00000000000001,52.0,50.0,53.333333333333336,-2.0,3,10.714285714285714,1,1,0,0,0,0,1,66,4,0,0,0,0,5
Anshul,anshul@gmail.com,anshul8596,GP,M,18,50.0,40.0,45.0,85.0,86.0,45.0,1.0,3,18.857142857142858,1,0,1,1,0,0,0,14,0,53,65,0,0,0
Varsha,varsha@gmail.com,varsha1661,GP,F,17,55.00000000000001,45.0,55.00000000000001,54.0,51.0,51.666666666666664,-3.0,4,21.142857142857142,1,1,0,0,1,1,0,20,61,0,0,47,20,0
Preeti,preeti@gmail.com,preeti3391,GP,F,17,65.0,65.0,70.0,69.0,74.0,66.66666666666667,5.0,5,48.57142857142857,1,1,1,1,1,0,0,66,23,84,77,90,0,0
Ansh,ansh@gmail.com,ansh7680,GP,M,17,60.0,60.0,60.0,100.0,99.0,60.0,-1.0,3,21.571428571428573,0,1,0,0,1,0,1,0,73,0,0,2,0,76
Piyush,piyush@gmail.com,piyush9470,GP,M,17,60.0,50.0,50.0,97.0,100.0,53.333333333333336,3.0,5,50.57142857142857,1,0,1,1,1,0,1,78,0,74,34,85,0,83
Karan,karan@gmail.com,karan8379,GP,M,16,70.0,65.0,65.0,64.0,63.0,66.66666666666667,-1.0,3,7.0,1,1,0,1,0,0,0,3,15,0,31,0,0,0
Vivek,vivek@gmail.com,vivek3879,GP,M,16,40.0,30.0,25.0,52.0,57.0,31.666666666666668,5.0,3,16.571428571428573,0,0,1,0,0,1,1,0,0,78,0,0,7,31
Ram,ram@gmail.com,ram6469,GP,M,16,55.00000000000001,45.0,50.0,71.0,76.0,50.0,5.0,4,26.0,1,1,0,1,0,1,0,43,62,0,53,0,24,0
Piyush,piyush@gmail.com,piyush2013,GP,M,17,70.0,65.0,65.0,81.0,80.0,66.66666666666667,-1.0,3,15.571428571428571,0,1,1,0,0,1,0,0,24,0,0,0,85,0
Khushi,khushi@gmail.com,khushi9695,GP,F,16,65.0,60.0,60.0,66.0,65.0,61.666666666666664,-1.0,3,16.571428571428573,0,1,0,1,0,0,1,0,94,0,19,0,0,3
Varsha,varsha@gmail.com,varsha7519,GP,F,17,70.0,60.0,60.0,93.0,97.0,63.333333333333336,4.0,4,21.857142857142858,0,1,1,1,1,0,0,0,36,45,15,57,0,0
Anshul,anshul@gmail.com,anshul9608,GP,M,18,35.0,35.0,0.0,81.0,79.0,23.333333333333332,-2.0,3,25.428571428571427,0,0,1,1,0,1,0,0,0,49,93,0,36,0
Ansh,ansh@gmail.com,ansh7215,GP,M,17,55.00000000000001,55.00000000000001,55.00000000000001,53.0,54.0,55.00000000000001,1.0,5,47.142857142857146,1,1,0,1,0,1,1,71,71,0,88,0,17,83
Ansh,ansh@gmail.com,ansh3336,GP,M,17,45.0,50.0,55.00000000000001,52.0,52.0,50.0,0.0,4,14.428571428571429,1,0,1,0,1,1,0,31,0,30,0,15,25,0
Piyush,piyush@gmail.com,piyush6531,GP,M,16,30.0,0.0,0.0,62.0,65.0,10.0,3.0,5,33.42857142857143,1,0,1,1,1,1,0,6,0,45,78,40,65,0
Abdul,abdul@gmail.com,abdul2231,GP,M,16,60.0,55.00000000000001,55.00000000000001,55.0,55.0,56.666666666666664,0.0,5,47.57142857142857,1,1,0,1,1,0,1,88,80,0,70,17,0,78
Manisha,manisha@gmail.com,manisha3825,GP,F,18,40.0,5.0,5.0,96.0,91.0,16.666666666666668,-5.0,4,29.0,1,0,0,0,1,1,1,77,0,0,0,12,31,83
Vivek,vivek@gmail.com,vivek6570,GP,M,16,85.0,85.0,85.0,59.0,59.0,85.0,0.0,5,41.857142857142854,1,1,0,1,1,0,1,85,96,0,77,8,0,27
Karan,karan@gmail.com,karan4894,GP,M,17,55.00000000000001,55.00000000000001,60.0,50.0,54.0,56.666666666666664,4.0,5,57.142857142857146,1,1,0,1,1,0,1,100,82,0,90,65,0,63
Karan,karan@gmail.com,karan3191,GP,M,22,30.0,40.0,40.0,90.0,93.0,36.666666666666664,3.0,3,24.857142857142858,0,0,1,0,1,1,0,0,0,23,0,51,100,0
Abdul,abdul@gmail.com,abdul5584,GP,M,18,20.0,30.0,30.0,96.0,100.0,26.666666666666668,4.0,3,30.142857142857142,0,1,0,0,1,0,1,0,91,0,0,22,0,98
Vivek,vivek@gmail.com,vivek6663,GP,M,16,60.0,70.0,70.0,50.0,48.0,66.66666666666667,-2.0,4,39.0,1,0,0,0,1,1,1,80,0,0,0,73,81,39
Anshul,anshul@gmail.com,anshul9470,GP,M,18,35.0,45.0,45.0,100.0,99.0,41.666666666666664,-1.0,3,7.428571428571429,0,1,1,0,1,0,0,0,16,16,0,20,0,0
Ram,ram@gmail.com,ram7482,GP,M,16,35.0,50.0,50.0,70.0,69.0,45.0,-1.0,3,20.0,0,1,1,0,0,0,1,0,43,29,0,0,0,68
Abdul,abdul@gmail.com,abdul4260,GP,M,18,35.0,50.0,45.0,99.0,100.0,43.333333333333336,1.0,3,19.428571428571427,1,0,0,0,0,1,1,55,0,0,0,0,25,56
Ansh,ansh@gmail.com,ansh9445,GP,M,16,45.0,50.0,45.0,99.0,100.0,46.666666666666664,1.0,5,44.42857142857143,1,0,1,0,1,1,1,66,0,10,0,74,95,66
Ram,ram@gmail.com,ram9307,GP,M,17,40.0,60.0,60.0,78.0,77.0,53.333333333333336,-1.0,4,25.428571428571427,0,1,1,1,1,0,0,0,73,39,35,31,0,0
Anshul,anshul@gmail.com,anshul1995,GP,M,17,35.0,45.0,40.0,80.0,75.0,40.0,-5.0,4,28.142857142857142,0,1,0,1,1,1,0,0,27,0,66,70,34,0
Manisha,manisha@gmail.com,manisha7915,GP,F,17,75.0,65.0,70.0,98.0,98.0,70.0,0.0,5,35.42857142857143,0,1,1,1,0,1,1,0,52,90,34,0,56,16
Karan,karan@gmail.com,karan4795,GP,M,19,50.0,50.0,50.0,51.0,49.0,50.0,-2.0,4,17.428571428571427,1,0,0,0,1,1,1,9,0,0,0,59,33,21
Ansh,ansh@gmail.com,ansh9523,GP,M,18,80.0,75.0,75.0,91.0,92.0,76.66666666666667,1.0,3,31.571428571428573,1,0,0,0,1,1,0,81,0,0,0,80,60,0
Manisha,manisha@gmail.com,manisha2730,GP,F,17,55.00000000000001,50.0,5.0,99.0,94.0,36.666666666666664,-5.0,5,35.0,0,1,1,1,1,1,0,0,9,42,33,86,75,0
Preeti,preeti@gmail.com,preeti9997,GP,F,18,85.0,90.0,90.0,82.0,81.0,88.33333333333333,-1.0,3,30.285714285714285,0,1,0,0,1,1,0,0,96,0,0,20,96,0
Karan,karan@gmail.com,karan4648,GP,M,18,40.0,40.0,40.0,63.0,58.0,40.0,-5.0,5,24.428571428571427,1,1,1,1,0,1,0,62,31,29,10,0,39,0
Ram,ram@gmail.com,ram9326,GP,M,18,60.0,55.00000000000001,55.00000000000001,50.0,51.0,56.666666666666664,1.0,3,30.142857142857142,1,0,1,0,0,0,1,84,0,69,0,0,0,58
Khushi,khushi@gmail.com,khushi8182,GP,F,17,50.0,45.0,45.0,83.0,78.0,46.666666666666664,-5.0,5,23.0,1,1,1,1,0,0,1,51,2,49,43,0,0,16
Mary,mary@gmail.com,mary1144,GP,F,18,45.0,50.0,0.0,72.0,69.0,31.666666666666668,-3.0,4,19.285714285714285,0,1,0,0,1,1,1,0,15,0,0,37,81,2
Ram,ram@gmail.com,ram9399,GP,M,18,80.0,80.0,80.0,56.0,60.0,80.0,4.0,5,35.857142857142854,1,0,1,0,1,1,1,43,0,65,0,63,74,6
Anshul,anshul@gmail.com,anshul4782,GP,M,17,45.0,45.0,50.0,89.0,92.0,46.666666666666664,3.0,3,25.714285714285715,0,1,0,1,0,1,0,0,55,0,92,0,33,0
Manisha,manisha@gmail.com,manisha6089,GP,F,18,60.0,50.0,55.00000000000001,85.0,80.0,55.0,-5.0,3,28.714285714285715,0,1,0,1,1,0,0,0,76,0,49,76,0,0
Ram,ram@gmail.com,ram5000,GP,M,18,45.0,40.0,45.0,59.0,63.0,43.333333333333336,4.0,5,28.285714285714285,0,1,1,1,1,1,0,0,76,38,3,68,13,0
Varsha,varsha@gmail.com,varsha9499,GP,F,18,30.0,0.0,0.0,62.0,59.0,10.0,-3.0,5,21.714285714285715,0,1,1,1,1,0,1,0,39,39,21,15,0,38
Manisha,manisha@gmail.com,manisha5432,GP,F,19,45.0,45.0,45.0,68.0,67.0,45.0,-1.0,4,29.428571428571427,1,0,1,1,0,0,1,11,0,3,95,0,0,97
Preeti,preeti@gmail.com,preeti3813,GP,F,18,75.0,70.0,70.0,80.0,75.0,71.66666666666667,-5.0,4,31.428571428571427,0,1,1,1,0,0,1,0,65,4,82,0,0,69
Khushi,khushi@gmail.com,khushi7093,GP,F,18,60.0,60.0,60.0,92.0,97.0,60.0,5.0,3,15.0,0,0,1,1,1,0,0,0,0,61,19,25,0,0
Piyush,piyush@gmail.com,piyush4777,GP,M,17,80.0,75.0,75.0,94.0,98.0,76.66666666666667,4.0,4,14.285714285714286,0,1,0,0,1,1,1,0,39,0,0,28,27,6
Manisha,manisha@gmail.com,manisha8875,GP,F,17,50.0,50.0,50.0,68.0,63.0,50.0,-5.0,4,35.142857142857146,1,1,1,0,0,1,0,52,71,58,0,0,65,0
Preeti,preeti@gmail.com,preeti3102,GP,F,17,60.0,60.0,60.0,80.0,78.0,60.0,-2.0,3,7.428571428571429,1,0,0,0,0,1,1,6,0,0,0,0,17,29
Preeti,preeti@gmail.com,preeti3661,GP,F,18,50.0,45.0,45.0,60.0,56.0,46.666666666666664,-4.0,5,19.0,1,0,1,1,1,1,0,28,0,26,8,62,9,0
Ansh,ansh@gmail.com,ansh8997,GP,M,18,45.0,45.0,45.0,81.0,80.0,45.0,-1.0,4,33.857142857142854,1,1,1,1,0,0,0,35,42,72,88,0,0,0
Manisha,manisha@gmail.com,manisha8038,GP,F,18,45.0,40.0,40.0,85.0,80.0,41.666666666666664,-5.0,5,49.714285714285715,1,1,1,1,0,1,0,46,93,56,77,0,76,0
Abdul,abdul@gmail.com,abdul7525,GP,M,18,50.0,55.00000000000001,50.0,71.0,69.0,51.666666666666664,-2.0,3,14.142857142857142,1,0,1,0,1,0,0,27,0,72,0,0,0,0
