name,email,password,school,sex,age,first_year_marks_percentage,second_year_marks_percentage,third_year_marks_percentage,first_year_attendance,second_year_attendance,overall_performance,attendance_improvement,total_courses_enrolled,average_course_completion,daily_study_hours,average_monthly_performance,Web Development_enrolled,PowerBI_enrolled,C++ DSA_enrolled,Python_enrolled,Java_enrolled,MongoDB_enrolled,Machine Learning_enrolled,Web Development_completion,PowerBI_completion,C++ DSA_completion,Python_completion,Java_completion,MongoDB_completion,Machine Learning_completion,Web Development_teacher_completion,PowerBI_teacher_completion,C++ DSA_teacher_completion,Python_teacher_completion,Java_teacher_completion,MongoDB_teacher_completion,Machine Learning_teacher_completion
Anshul,anshul@gmail.com,anshul4782,GP,M,17,45.0,45.0,50.0,89,94,46.666666666666664,5,4,25.142857142857142,1,73.97148384955167,0,1,1,0,0,1,1,0,29,47,0,0,67,33,0,100,76,0,0,78,33
Manisha,manisha@gmail.com,manisha6089,GP,F,18,60.0,50.0,55.00000000000001,85,80,55.0,-5,3,17.285714285714285,4,83.6837072628163,1,1,0,0,0,0,1,16,54,0,0,0,0,51,81,94,0,0,0,0,98
Ram,ram@gmail.com,ram5000,GP,M,18,45.0,40.0,45.0,59,58,43.333333333333336,-1,3,17.285714285714285,7,71.13541929086442,0,1,1,0,0,1,0,0,41,24,0,0,56,0,0,50,47,0,0,72,0
Varsha,varsha@gmail.com,varsha9499,GP,F,18,30.0,0.0,0.0,62,61,10.0,-1,5,24.857142857142858,3,84.60819768363524,0,1,1,1,1,0,1,0,72,17,11,50,0,24,0,73,53,47,57,0,65
Manisha,manisha@gmail.com,manisha5432,GP,F,19,45.0,45.0,45.0,68,67,45.0,-1,4,38.0,4,73.02285161656451,0,1,1,1,0,0,1,0,70,96,92,0,0,8,0,81,96,96,0,0,48
Preeti,preeti@gmail.com,preeti3813,GP,F,18,75.0,70.0,70.0,80,85,71.66666666666667,5,5,48.142857142857146,7,62.556437268732964,1,1,1,1,1,0,0,89,47,70,35,96,0,0,90,51,87,68,97,0,0
Khushi,khushi@gmail.com,khushi7093,GP,F,18,60.0,60.0,60.0,92,93,60.0,1,3,35.142857142857146,1,76.90888373782188,1,0,0,1,0,0,1,64,0,0,86,0,0,96,81,0,0,94,0,0,100
Piyush,piyush@gmail.com,piyush4777,GP,M,17,80.0,75.0,75.0,94,93,76.66666666666667,-1,5,21.0,6,87.69566206902505,1,1,0,1,0,1,1,11,37,0,4,0,34,61,38,84,0,8,0,74,68
Manisha,manisha@gmail.com,manisha8875,GP,F,17,50.0,50.0,50.0,68,63,50.0,-5,4,36.42857142857143,2,87.86060106232901,0,1,1,1,0,1,0,0,97,58,2,0,98,0,0,97,94,88,0,100,0
Preeti,preeti@gmail.com,preeti3102,GP,F,17,60.0,60.0,60.0,80,85,60.0,5,5,48.714285714285715,3,76.48040667958014,1,1,1,0,0,1,1,42,59,84,0,0,78,78,99,82,100,0,0,84,87
Preeti,preeti@gmail.com,preeti3661,GP,F,18,50.0,45.0,45.0,60,57,46.666666666666664,-3,4,9.571428571428571,2,84.12365839996647,0,0,1,1,1,0,1,0,0,18,6,43,0,0,0,0,48,18,97,0,44
Ansh,ansh@gmail.com,ansh8997,GP,M,18,45.0,45.0,45.0,81,78,45.0,-3,3,16.857142857142858,8,83.41974335828976,1,0,0,0,0,1,1,69,0,0,0,0,9,40,92,0,0,0,0,67,73
Manisha,manisha@gmail.com,manisha8038,GP,F,18,45.0,40.0,40.0,85,90,41.666666666666664,5,3,28.0,3,61.038246776111095,1,0,1,1,0,0,0,30,0,71,95,0,0,0,76,0,98,95,0,0,0
Abdul,abdul@gmail.com,abdul7525,GP,M,18,50.0,55.00000000000001,50.0,71,70,51.666666666666664,-1,4,19.285714285714285,1,75.92131811974153,1,0,1,0,1,1,0,8,0,3,0,65,59,0,65,0,46,0,98,65,0
Ram,ram@gmail.com,ram1534,GP,M,17,40.0,40.0,40.0,87,82,40.0,-5,5,49.142857142857146,5,68.01051985210596,1,1,1,0,0,1,1,41,94,58,0,0,91,60,79,94,92,0,0,95,81
Vivek,vivek@gmail.com,vivek8566,GP,M,17,55.00000000000001,45.0,50.0,70,66,50.0,-4,4,41.714285714285715,3,73.2339972634703,1,0,1,1,1,0,0,73,0,52,82,85,0,0,92,0,90,93,96,0,0
Preeti,preeti@gmail.com,preeti2867,GP,F,18,60.0,60.0,60.0,80,81,60.0,1,3,18.285714285714285,2,66.58143255565135,0,0,0,0,1,1,1,0,0,0,0,33,80,15,0,0,0,0,70,99,60
Preeti,preeti@gmail.com,preeti9581,GP,F,18,35.0,40.0,45.0,50,46,40.0,-4,4,33.0,2,69.84308650310383,0,1,1,0,1,0,1,0,89,69,0,6,0,67,0,95,70,0,17,0,79
Khushi,khushi@gmail.com,khushi5857,GP,F,17,55.00000000000001,50.0,60.0,100,100,55.0,0,4,32.142857142857146,2,74.73014089756738,1,0,0,1,1,1,0,32,0,0,77,75,41,0,87,0,0,100,97,97,0
Anshul,anshul@gmail.com,anshul1892,GP,M,17,60.0,50.0,55.00000000000001,74,69,55.0,-5,4,26.571428571428573,8,65.63761286095587,1,0,1,1,0,0,1,17,0,35,37,0,0,97,85,0,54,61,0,0,98
Varsha,varsha@gmail.com,varsha9650,GP,F,18,85.0,85.0,90.0,59,55,86.66666666666667,-4,5,15.0,4,87.5294886459514,0,1,1,1,0,1,1,0,37,38,17,0,13,0,0,77,70,23,0,63,11
Preeti,preeti@gmail.com,preeti2339,GP,F,17,65.0,60.0,60.0,75,70,61.666666666666664,-5,4,28.285714285714285,4,86.72175665506093,1,0,1,0,1,0,1,1,0,72,0,96,0,29,7,0,86,0,100,0,41
Abdul,abdul@gmail.com,abdul6776,GP,M,18,75.0,70.0,70.0,88,84,71.66666666666667,-4,5,29.428571428571427,5,74.05437263309403,1,1,0,1,0,1,1,8,12,0,38,0,55,93,60,30,0,74,0,71,95
Vivek,vivek@gmail.com,vivek3058,GP,M,18,70.0,60.0,70.0,54,52,66.66666666666667,-2,3,18.857142857142858,1,67.07493302286714,0,0,1,0,0,1,1,0,0,45,0,0,62,25,0,0,48,0,0,84,27
Piyush,piyush@gmail.com,piyush3704,GP,M,18,60.0,55.00000000000001,55.00000000000001,67,63,56.666666666666664,-4,4,34.285714285714285,4,86.17126638860026,0,1,0,1,1,1,0,0,75,0,5,81,79,0,0,83,0,92,82,100,0
Preeti,preeti@gmail.com,preeti9532,GP,F,17,80.0,80.0,80.0,96,100,80.0,4,4,19.285714285714285,8,77.44696896837542,0,0,1,1,1,0,1,0,0,54,30,16,0,35,0,0,65,50,16,0,45
Mary,mary@gmail.com,mary8533,GP,F,18,60.0,60.0,65.0,68,69,61.666666666666664,1,5,42.142857142857146,4,86.19871120096877,1,1,0,1,0,1,1,61,47,0,54,0,87,46,82,62,0,61,0,88,63
Varsha,varsha@gmail.com,varsha6700,GP,F,17,90.0,90.0,90.0,76,79,90.0,3,5,36.714285714285715,8,65.22579167300337,1,1,0,1,1,1,0,29,80,0,45,18,85,0,32,95,0,49,43,88,0
Ansh,ansh@gmail.com,ansh7772,GP,M,18,70.0,65.0,70.0,68,63,68.33333333333333,-5,3,12.571428571428571,8,73.9917086475562,0,0,1,0,0,1,1,0,0,7,0,0,31,50,0,0,44,0,0,43,99
Vivek,vivek@gmail.com,vivek4860,GP,M,17,65.0,55.00000000000001,50.0,55,55,56.666666666666664,0,3,11.714285714285714,3,73.60736667307677,1,0,1,0,1,0,0,46,0,18,0,18,0,0,99,0,36,0,77,0,0
Manisha,manisha@gmail.com,manisha6474,GP,F,19,50.0,45.0,0.0,84,88,31.666666666666668,4,5,29.857142857142858,4,66.63303014127169,1,1,1,1,1,0,0,90,22,57,31,9,0,0,95,76,72,68,66,0,0
Manisha,manisha@gmail.com,manisha4168,GP,F,18,50.0,40.0,40.0,75,71,43.333333333333336,-4,3,32.42857142857143,8,85.91048510489453,1,0,0,0,1,1,0,91,0,0,0,83,53,0,92,0,0,0,94,74,0
Manisha,manisha@gmail.com,manisha2386,GP,F,18,75.0,70.0,75.0,91,91,73.33333333333333,0,5,31.0,8,81.60238495918043,1,1,1,0,0,1,1,85,20,31,0,0,27,54,99,85,51,0,0,97,81
Anshul,anshul@gmail.com,anshul6171,GP,M,18,80.0,75.0,80.0,89,93,78.33333333333333,4,5,35.285714285714285,2,65.31385741610347,0,1,1,1,1,1,0,0,10,67,80,86,4,0,0,67,78,99,100,84,0
Mary,mary@gmail.com,mary2230,GP,F,18,60.0,50.0,55.00000000000001,70,67,55.0,-3,5,27.285714285714285,1,87.12071831095552,0,1,1,1,1,1,0,0,72,9,58,34,18,0,0,82,36,71,50,22,0
Ansh,ansh@gmail.com,ansh5138,GP,M,17,55.00000000000001,55.00000000000001,50.0,63,66,53.333333333333336,3,4,34.142857142857146,3,68.93580118304575,0,1,0,1,0,1,1,0,97,0,71,0,55,16,0,99,0,91,0,85,35
Mary,mary@gmail.com,mary9767,GP,F,17,75.0,60.0,70.0,79,76,68.33333333333333,-3,3,26.714285714285715,8,70.3963019881092,1,0,1,0,1,0,0,62,0,94,0,31,0,0,70,0,99,0,96,0,0
Khushi,khushi@gmail.com,khushi3149,GP,F,17,85.0,85.0,90.0,82,78,86.66666666666667,-4,4,31.714285714285715,6,87.49079710548793,0,1,1,1,1,0,0,0,26,14,99,83,0,0,0,62,77,100,100,0,0
Anshul,anshul@gmail.com,anshul2511,GP,M,19,80.0,75.0,70.0,95,92,75.0,-3,3,14.285714285714286,7,78.44029074212246,0,0,0,0,1,1,1,0,0,0,0,52,11,37,0,0,0,0,58,13,40
Mary,mary@gmail.com,mary9035,GP,F,18,70.0,60.0,60.0,78,80,63.333333333333336,2,4,28.428571428571427,5,70.04423024123463,0,1,1,0,0,1,1,0,51,5,0,0,77,66,0,97,71,0,0,88,83
Karan,karan@gmail.com,karan7409,GP,M,20,90.0,95.0,95.0,94,96,93.33333333333333,2,5,38.142857142857146,8,79.25775047527964,0,1,1,1,1,1,0,0,83,86,40,14,44,0,0,91,100,65,68,71,0
Ram,ram@gmail.com,ram1567,GP,M,19,45.0,50.0,45.0,96,97,46.666666666666664,1,5,41.714285714285715,2,69.4389000551527,0,1,1,1,1,1,0,0,70,44,31,78,69,0,0,83,49,91,98,76,0
Vivek,vivek@gmail.com,vivek4269,GP,M,19,70.0,55.00000000000001,55.00000000000001,53,53,60.0,0,5,34.857142857142854,1,68.8454905449843,1,1,1,0,0,1,1,31,49,25,0,0,64,75,84,96,37,0,0,99,98
Khushi,khushi@gmail.com,khushi2282,GP,F,19,60.0,50.0,50.0,79,76,53.333333333333336,-3,5,38.142857142857146,5,80.568485889089,1,1,1,0,1,1,0,32,23,75,0,50,87,0,32,26,91,0,76,89,0
Mary,mary@gmail.com,mary9580,GP,F,19,45.0,45.0,0.0,60,57,30.0,-3,4,28.0,5,71.84230364794978,1,1,0,0,1,0,1,0,94,0,0,76,0,26,70,95,0,0,85,0,98
Khushi,khushi@gmail.com,khushi4249,GP,F,19,70.0,60.0,65.0,88,91,65.0,3,4,39.0,7,83.93886534018878,1,1,1,0,1,0,0,27,94,59,0,93,0,0,66,95,70,0,97,0,0
Piyush,piyush@gmail.com,piyush5975,GP,M,19,65.0,55.00000000000001,55.00000000000001,73,75,58.333333333333336,2,5,26.857142857142858,8,86.96984247630556,1,0,0,1,1,1,1,30,0,0,21,73,16,48,87,0,0,42,97,80,91
Manisha,manisha@gmail.com,manisha8436,GP,F,19,65.0,50.0,55.00000000000001,70,71,56.666666666666664,1,4,44.714285714285715,3,82.83566291220602,0,0,1,1,0,1,1,0,0,99,54,0,86,74,0,0,99,57,0,86,85
Varsha,varsha@gmail.com,varsha2073,GP,F,19,80.0,70.0,70.0,96,100,73.33333333333333,4,5,26.0,1,69.87823730205294,1,0,1,1,1,1,0,15,0,50,98,2,17,0,77,0,71,98,29,66,0
Manisha,manisha@gmail.com,manisha1310,GP,F,19,65.0,55.00000000000001,55.00000000000001,71,67,58.333333333333336,-4,5,33.57142857142857,1,65.48648779551317,1,0,1,1,1,1,0,47,0,72,56,5,55,0,48,0,85,78,93,100,0
Varsha,varsha@gmail.com,varsha1789,GP,F,18,40.0,40.0,0.0,82,84,26.666666666666668,2,3,25.0,7,86.39360861479479,1,0,0,1,1,0,0,37,0,0,71,67,0,0,75,0,0,83,96,0,0
Manisha,manisha@gmail.com,manisha3968,GP,F,18,45.0,50.0,45.0,90,89,46.666666666666664,-1,3,13.571428571428571,3,82.30140591582077,0,0,0,1,1,0,1,0,0,0,14,70,0,11,0,0,0,61,94,0,37
Khushi,khushi@gmail.com,khushi8952,GP,F,17,55.00000000000001,55.00000000000001,50.0,66,66,53.333333333333336,0,5,31.142857142857142,4,80.22036788077553,0,1,1,1,1,0,1,0,22,49,43,76,0,28,0,65,100,52,87,0,77
Preeti,preeti@gmail.com,preeti9610,GP,F,18,60.0,60.0,60.0,95,99,60.0,4,5,36.142857142857146,3,65.75998996777636,1,1,1,0,0,1,1,14,71,11,0,0,61,96,17,80,66,0,0,89,98
Varsha,varsha@gmail.com,varsha9415,GP,F,17,60.0,60.0,60.0,50,51,60.0,1,5,46.857142857142854,2,77.74352278114674,1,1,1,1,1,0,0,63,63,81,26,95,0,0,93,90,96,66,97,0,0
Preeti,preeti@gmail.com,preeti9609,GP,F,17,55.00000000000001,45.0,45.0,61,64,48.333333333333336,3,4,20.285714285714285,3,77.34156163736756,0,1,1,0,1,0,1,0,49,72,0,3,0,18,0,54,76,0,10,0,81
Khushi,khushi@gmail.com,khushi6165,GP,F,17,55.00000000000001,55.00000000000001,55.00000000000001,70,71,55.00000000000001,1,5,18.857142857142858,1,66.8884439257814,0,1,1,0,1,1,1,0,9,49,0,35,19,20,0,14,79,0,90,67,94
Manisha,manisha@gmail.com,manisha8019,GP,F,17,60.0,70.0,75.0,62,67,68.33333333333333,5,5,47.142857142857146,5,77.96251679064721,0,1,1,1,0,1,1,0,86,71,93,0,69,11,0,92,99,100,0,75,97
Preeti,preeti@gmail.com,preeti9300,GP,F,17,80.0,75.0,75.0,75,72,76.66666666666667,-3,3,11.285714285714286,2,74.9305025050852,1,0,0,0,1,0,1,7,0,0,0,13,0,59,31,0,0,0,46,0,67
Anshul,anshul@gmail.com,anshul3863,GP,M,18,45.0,60.0,55.00000000000001,85,88,53.333333333333336,3,4,25.857142857142858,6,77.63825846568513,1,0,1,1,0,1,0,17,0,94,2,0,68,0,21,0,95,61,0,94,0
Piyush,piyush@gmail.com,piyush9524,GP,M,17,70.0,75.0,80.0,83,80,75.0,-3,4,23.714285714285715,2,65.48979806709222,1,1,1,0,1,0,0,90,14,55,0,7,0,0,96,20,55,0,49,0,0
Piyush,piyush@gmail.com,piyush5395,GP,M,17,50.0,45.0,45.0,50,46,46.666666666666664,-4,5,34.857142857142854,6,86.23889577435563,1,1,0,1,0,1,1,0,25,0,97,0,97,25,45,79,0,98,0,98,52
Khushi,khushi@gmail.com,khushi3205,GP,F,17,50.0,45.0,45.0,74,75,46.666666666666664,1,5,34.857142857142854,1,84.34354220915303,0,0,1,1,1,1,1,0,0,85,12,43,4,100,0,0,85,22,44,62,100
Mary,mary@gmail.com,mary9798,GP,F,17,70.0,70.0,70.0,67,66,70.0,-1,3,6.714285714285714,6,83.45616533930979,0,0,1,0,1,1,0,0,0,10,0,22,15,0,0,0,30,0,72,78,0
Karan,karan@gmail.com,karan6087,GP,M,18,40.0,35.0,35.0,57,60,36.666666666666664,3,3,25.714285714285715,1,82.24793479783992,1,1,0,0,1,0,0,59,79,0,0,42,0,0,67,91,0,0,55,0,0
Preeti,preeti@gmail.com,preeti9707,GP,F,17,60.0,70.0,70.0,65,61,66.66666666666667,-4,4,38.857142857142854,2,85.72693491674097,0,1,0,1,1,1,0,0,31,0,72,75,94,0,0,79,0,97,99,94,0
Preeti,preeti@gmail.com,preeti6129,GP,F,18,35.0,0.0,0.0,69,70,11.666666666666666,1,3,24.142857142857142,3,82.90960522523974,0,0,0,1,1,1,0,0,0,0,24,76,69,0,0,0,0,65,81,93,0
Khushi,khushi@gmail.com,khushi6768,GP,F,18,40.0,40.0,0.0,89,89,26.666666666666668,0,5,39.42857142857143,4,76.98216337936626,1,1,0,0,1,1,1,70,87,0,0,23,38,58,71,98,0,0,32,38,63
Varsha,varsha@gmail.com,varsha1603,GP,F,18,45.0,40.0,-5.0,56,58,26.666666666666668,2,4,36.857142857142854,1,61.957356470464255,1,0,1,1,0,0,1,59,0,59,94,0,0,46,66,0,95,100,0,0,62
Mary,mary@gmail.com,mary2611,GP,F,17,85.0,80.0,80.0,100,97,81.66666666666667,-3,5,50.142857142857146,2,89.4344533110602,1,1,0,1,1,1,0,99,76,0,67,43,66,0,99,91,0,70,99,67,0
Varsha,varsha@gmail.com,varsha4920,GP,F,19,70.0,65.0,65.0,67,69,66.66666666666667,2,4,33.0,7,62.696672210873004,1,0,0,1,0,1,1,73,0,0,50,0,57,51,81,0,0,75,0,60,99
Khushi,khushi@gmail.com,khushi9026,GP,F,17,35.0,40.0,0.0,82,84,25.0,2,5,36.0,1,79.58884862536847,1,1,1,0,1,0,1,2,40,67,0,61,0,82,16,75,75,0,76,0,85
Khushi,khushi@gmail.com,khushi8163,GP,F,18,80.0,75.0,85.0,60,63,80.0,3,4,39.42857142857143,3,85.78914310764816,1,0,1,0,0,1,1,49,0,44,0,0,89,94,64,0,99,0,0,91,98
Khushi,khushi@gmail.com,khushi1087,GP,F,17,45.0,50.0,50.0,60,62,48.333333333333336,2,3,28.571428571428573,5,83.76306676693231,0,1,0,1,0,1,0,0,88,0,68,0,44,0,0,98,0,84,0,93,0
Khushi,khushi@gmail.com,khushi3195,GP,F,19,55.00000000000001,60.0,55.00000000000001,80,79,56.666666666666664,-1,5,34.285714285714285,4,69.83077053547612,0,1,1,1,1,0,1,0,53,37,81,34,0,35,0,85,54,92,60,0,48
Ansh,ansh@gmail.com,ansh3220,GP,M,18,50.0,50.0,0.0,61,64,33.333333333333336,3,3,15.857142857142858,3,80.89542039932897,0,1,0,1,0,1,0,0,27,0,26,0,58,0,0,94,0,71,0,59,0
Karan,karan@gmail.com,karan4633,GP,M,18,85.0,80.0,80.0,98,99,81.66666666666667,1,3,19.571428571428573,3,70.90752732452967,0,1,1,0,1,0,0,0,49,17,0,71,0,0,0,99,38,0,89,0,0
Manisha,manisha@gmail.com,manisha8376,GP,F,17,45.0,40.0,0.0,65,70,28.333333333333332,5,5,36.857142857142854,4,85.255786926638,1,0,0,1,1,1,1,11,0,0,82,89,57,19,68,0,0,91,96,88,98
Varsha,varsha@gmail.com,varsha2357,GP,F,18,50.0,45.0,45.0,54,56,46.666666666666664,2,3,18.571428571428573,6,74.5560505446452,0,1,1,0,0,1,0,0,14,66,0,0,50,0,0,93,90,0,0,90,0
Khushi,khushi@gmail.com,khushi4129,GP,F,18,65.0,65.0,70.0,89,90,66.66666666666667,1,5,16.571428571428573,2,86.0071439154026,1,0,1,1,0,1,1,5,0,12,7,0,24,68,30,0,45,10,0,28,76
Piyush,piyush@gmail.com,piyush7837,GP,M,18,80.0,75.0,80.0,80,85,78.33333333333333,5,4,20.857142857142858,4,79.79720425914591,1,0,0,0,1,1,1,57,0,0,0,20,26,43,59,0,0,0,29,61,98
Vivek,vivek@gmail.com,vivek9632,GP,M,18,55.00000000000001,55.00000000000001,50.0,92,95,53.333333333333336,3,4,29.714285714285715,8,81.00898001885881,1,1,1,0,0,1,0,31,15,66,0,0,96,0,48,45,97,0,0,100,0
Mary,mary@gmail.com,mary1474,GP,F,17,60.0,70.0,70.0,59,62,66.66666666666667,3,3,18.428571428571427,2,65.92260228871515,0,0,1,0,0,1,1,0,0,54,0,0,70,5,0,0,64,0,0,86,33
Ansh,ansh@gmail.com,ansh2330,MS,M,18,55.00000000000001,65.0,65.0,73,78,61.666666666666664,5,3,30.285714285714285,4,72.46854047986744,1,1,1,0,0,0,0,72,68,72,0,0,0,0,87,80,82,0,0,0,0
Ansh,ansh@gmail.com,ansh6477,MS,M,19,40.0,35.0,40.0,79,78,38.333333333333336,-1,3,21.857142857142858,7,63.63286757110787,0,0,1,1,0,0,1,0,0,69,72,0,0,12,0,0,70,87,0,0,22
Vivek,vivek@gmail.com,vivek6692,MS,M,17,65.0,65.0,65.0,76,79,65.0,3,4,26.714285714285715,8,68.99032980021485,1,1,0,0,1,0,1,65,30,0,0,46,0,46,69,94,0,0,85,0,66
Karan,karan@gmail.com,karan2833,MS,M,18,45.0,40.0,45.0,97,100,43.333333333333336,3,5,35.285714285714285,3,89.52366110345915,0,1,1,1,0,1,1,0,42,75,93,0,17,20,0,95,90,100,0,77,92
Ram,ram@gmail.com,ram7572,MS,M,19,40.0,40.0,40.0,83,79,40.0,-4,5,42.857142857142854,1,63.29575709967926,1,1,0,0,1,1,1,77,32,0,0,51,47,93,84,90,0,0,78,48,100
Piyush,piyush@gmail.com,piyush9315,MS,M,17,60.0,50.0,50.0,56,52,53.333333333333336,-4,5,52.57142857142857,1,72.53965466913657,1,0,1,1,0,1,1,64,0,51,90,0,66,97,94,0,69,94,0,97,100
Preeti,preeti@gmail.com,preeti4480,MS,F,18,50.0,45.0,45.0,78,82,46.666666666666664,4,3,18.142857142857142,6,81.96421542636594,0,1,0,0,0,1,1,0,6,0,0,0,87,34,0,49,0,0,0,100,70
Khushi,khushi@gmail.com,khushi4684,MS,F,17,55.00000000000001,60.0,60.0,57,62,58.333333333333336,5,3,19.714285714285715,1,75.68388457950118,0,1,0,0,1,1,0,0,23,0,0,38,77,0,0,88,0,0,73,88,0
Manisha,manisha@gmail.com,manisha4368,MS,F,17,65.0,65.0,60.0,92,87,63.333333333333336,-5,5,31.142857142857142,1,64.62775263126257,1,1,0,1,0,1,1,8,17,0,18,0,86,89,52,35,0,78,0,88,90
Ansh,ansh@gmail.com,ansh7459,MS,M,18,50.0,50.0,50.0,76,79,50.0,3,5,34.285714285714285,3,66.3047628749731,1,1,1,1,0,0,1,47,30,42,79,0,0,42,53,73,58,82,0,0,76
Manisha,manisha@gmail.com,manisha8119,MS,F,18,90.0,80.0,80.0,62,61,83.33333333333333,-1,4,16.0,3,71.81272990445282,1,1,0,0,0,1,1,5,1,0,0,0,45,61,61,11,0,0,0,76,76
Manisha,manisha@gmail.com,manisha7267,MS,F,18,65.0,65.0,65.0,83,85,65.0,2,3,9.714285714285714,7,85.35447572308979,0,1,1,0,1,0,0,0,2,22,0,44,0,0,0,20,32,0,75,0,0
Piyush,piyush@gmail.com,piyush2504,MS,M,18,70.0,65.0,65.0,93,94,66.66666666666667,1,4,26.142857142857142,6,74.08808321682962,0,1,1,1,0,0,1,0,66,36,72,0,0,9,0,68,47,80,0,0,55
Manisha,manisha@gmail.com,manisha7316,MS,F,18,50.0,50.0,45.0,55,55,48.333333333333336,0,4,36.142857142857146,6,83.09245124160799,1,0,0,0,1,1,1,67,0,0,0,47,95,44,99,0,0,0,100,96,81
Preeti,preeti@gmail.com,preeti4754,MS,F,17,80.0,75.0,75.0,80,80,76.66666666666667,0,3,30.714285714285715,7,89.36839848321459,1,0,0,1,1,0,0,83,0,0,40,92,0,0,86,0,0,62,98,0,0
Mary,mary@gmail.com,mary3602,MS,F,17,60.0,55.00000000000001,60.0,69,65,58.333333333333336,-4,5,50.0,6,73.39351877526101,1,1,0,0,1,1,1,99,51,0,0,90,15,95,100,100,0,0,92,24,95
Abdul,abdul@gmail.com,abdul5736,MS,M,18,55.00000000000001,55.00000000000001,55.00000000000001,100,100,55.00000000000001,0,3,19.0,7,73.82490550046059,0,0,0,1,1,0,1,0,0,0,1,53,0,79,0,0,0,44,62,0,100
Vivek,vivek@gmail.com,vivek9372,MS,M,18,65.0,65.0,65.0,72,71,65.0,-1,4,35.0,7,81.15130466905237,1,1,1,0,1,0,0,95,32,42,0,76,0,0,98,62,52,0,84,0,0
Khushi,khushi@gmail.com,khushi8585,MS,F,17,30.0,25.0,-5.0,59,61,16.666666666666668,2,5,25.285714285714285,7,84.22644326078415,0,0,1,1,1,1,1,0,0,49,19,15,9,85,0,0,72,50,42,30,95
Mary,mary@gmail.com,mary1246,MS,F,18,55.00000000000001,50.0,50.0,76,77,51.666666666666664,1,4,23.0,1,77.50924234429529,0,1,0,0,1,1,1,0,25,0,0,73,25,38,0,95,0,0,97,72,70
Preeti,preeti@gmail.com,preeti2212,MS,F,18,70.0,60.0,55.00000000000001,80,81,61.666666666666664,1,3,33.285714285714285,8,83.75714920471658,0,1,0,1,0,0,1,0,88,0,87,0,0,58,0,99,0,97,0,0,100
Manisha,manisha@gmail.com,manisha7804,MS,F,19,35.0,35.0,45.0,75,70,38.333333333333336,-5,4,40.857142857142854,1,75.17185412233626,1,1,1,1,0,0,0,10,94,91,91,0,0,0,63,98,98,95,0,0,0
Vivek,vivek@gmail.com,vivek7222,MS,M,18,70.0,60.0,60.0,67,65,63.333333333333336,-2,5,25.285714285714285,7,86.83627215806321,0,1,0,1,1,1,1,0,29,0,17,48,35,48,0,91,0,90,76,39,51
Manisha,manisha@gmail.com,manisha4995,MS,F,17,60.0,50.0,50.0,55,51,53.333333333333336,-4,3,17.571428571428573,2,71.2311759703754,1,1,1,0,0,0,0,5,44,74,0,0,0,0,66,81,79,0,0,0,0
Preeti,preeti@gmail.com,preeti4338,MS,F,17,25.0,20.0,20.0,56,52,21.666666666666668,-4,4,27.0,5,87.15093749669445,0,1,1,1,1,0,0,0,26,72,2,89,0,0,0,37,89,75,96,0,0
Manisha,manisha@gmail.com,manisha8474,MS,F,18,95.0,90.0,95.0,68,68,93.33333333333333,0,3,16.714285714285715,3,64.17017778540047,1,0,0,1,0,1,0,34,0,0,52,0,31,0,90,0,0,96,0,38,0
Varsha,varsha@gmail.com,varsha5829,MS,F,18,45.0,45.0,55.00000000000001,100,100,48.333333333333336,0,3,22.714285714285715,2,63.155369467417046,0,1,0,0,0,1,1,0,34,0,0,0,25,100,0,79,0,0,0,84,100
Mary,mary@gmail.com,mary3431,MS,F,20,75.0,70.0,75.0,80,82,73.33333333333333,2,4,32.42857142857143,4,67.22193431457826,1,0,1,1,0,1,0,37,0,33,88,0,69,0,64,0,92,100,0,90,0
Preeti,preeti@gmail.com,preeti8106,MS,F,18,35.0,40.0,45.0,56,58,40.0,2,3,7.0,7,66.61931901010846,0,0,1,1,1,0,0,0,0,10,26,13,0,0,0,0,65,26,62,0,0
Varsha,varsha@gmail.com,varsha1368,MS,F,18,75.0,75.0,75.0,66,63,75.0,-3,4,22.714285714285715,5,68.87716935325939,0,1,0,1,0,1,1,0,28,0,2,0,46,83,0,94,0,51,0,93,90
Mary,mary@gmail.com,mary1094,MS,F,17,50.0,50.0,50.0,89,84,50.0,-5,5,37.57142857142857,6,60.49070530475527,0,1,1,1,1,1,0,0,45,31,64,43,80,0,0,99,51,85,48,95,0
Ram,ram@gmail.com,ram9695,MS,M,18,75.0,70.0,70.0,62,59,71.66666666666667,-3,3,22.0,8,72.36623081552871,0,0,1,0,1,0,1,0,0,65,0,83,0,6,0,0,86,0,91,0,76
Abdul,abdul@gmail.com,abdul8210,MS,M,18,30.0,25.0,30.0,56,51,28.333333333333332,-5,5,38.857142857142854,7,71.12204987790302,1,0,1,0,1,1,1,75,0,63,0,90,28,16,96,0,70,0,97,36,85
Piyush,piyush@gmail.com,piyush3134,MS,M,17,60.0,60.0,55.00000000000001,94,94,58.333333333333336,0,5,32.857142857142854,8,71.20920890248081,1,1,1,0,1,1,0,52,21,55,0,36,66,0,62,28,75,0,77,87,0
Abdul,abdul@gmail.com,abdul8020,MS,M,19,35.0,30.0,5.0,92,89,23.333333333333332,-3,4,29.0,7,81.20383967802816,0,0,1,1,1,0,1,0,0,42,11,94,0,56,0,0,57,80,95,0,59
